id_resena,id_usuario,id_producto,contenido,estrellas
1,1,1,"Excelente producto, muy contento con la compra",5
2,2,2,"Buen procesador, cumple con las expectativas",4
3,3,3,"Envío rápido y producto en perfecto estado",5
4,4,4,"Gran tarjeta gráfica, corre todos los juegos",5
5,5,5,"Buena memoria RAM, mi PC va mucho más rápido",4
6,6,6,"Placa base de alta calidad, sin problemas",5
7,7,7,"Producto acorde a la descripción, recomendado",4
8,8,8,"Muy buen procesador, excelente relación calidad-precio",5
9,9,9,"Envío rápido y bien protegido, muy satisfecho",5
10,10,10,"Tarjeta gráfica potente, buen rendimiento",4
11,1,11,"Rápido y eficiente, recomendado para gaming",5
12,2,12,"Buen producto, fácil de instalar",4
13,3,13,"Sorprendido con la calidad, cumple las expectativas",5
14,4,14,"Gran rendimiento, juegos en alta calidad",5
15,5,15,"Buena memoria RAM, mejoró mi rendimiento",4
